"NAME","GEOID","has_computer","mean_u_mbps","final_index"
"Census Tract 2.02, Whitman County, Washington",53075000202,945,88.8487058823529,3799.98673169435
"Census Tract 3, Whitman County, Washington",53075000300,2351,80.8863712121212,9302.42622854524
"Census Tract 4, Whitman County, Washington",53075000400,1774,79.7048885350318,7039.50989082875
"Census Tract 5, Whitman County, Washington",53075000500,430,13.688375,1700.2283321437
"Census Tract 6.01, Whitman County, Washington",53075000601,2250,123.38388976378,8952.4174368333
"Census Tract 6.02, Whitman County, Washington",53075000602,1947,111.333038709677,7751.75300443995
"Census Tract 7, Whitman County, Washington",53075000700,1359,60.0831111111111,5391.67123497375
"Census Tract 8, Whitman County, Washington",53075000800,1283,40.2632621359223,5072.38179520452
"Census Tract 9, Whitman County, Washington",53075000900,1443,155.086537313433,5823.47909782965
"Census Tract 10, Whitman County, Washington",53075001000,846,31.4935197740113,3350.02557566183
"Census Tract 9501, Adams County, Washington",53001950100,1023,9.5285652173913,4020.09318785758
"Census Tract 9502, Adams County, Washington",53001950200,548,9.0375243902439,2157.72699401093
"Census Tract 9503.01, Adams County, Washington",53001950301,318,13.2451162790698,1260.74847441904
"Census Tract 9503.02, Adams County, Washington",53001950302,566,17.036595959596,2236.91583571552
"Census Tract 9503.03, Adams County, Washington",53001950303,608,14.2204050632911,2398.5012473208
"Census Tract 9504, Adams County, Washington",53001950400,713,32.9302469635628,2830.26242110024
"Census Tract 9505, Adams County, Washington",53001950500,1519,34.8328630490956,5991.55821593883
