"NAME","GEOID","has_computer","with_internet","sixtyfive_and_older","median_income","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms"
"Census Tract 3, Whitman County, Washington","53075000300","2351","2249","709","82103","12","53.5833333333333","243.692886363636","80.8863712121212","29.5757575757576"
"Census Tract 4, Whitman County, Washington","53075000400","1774","1594","929","50859","8","57.5","196.557904458599","79.7048885350318","21.2006369426752"
"Census Tract 5, Whitman County, Washington","53075000500","430","178","7","21696","7","57.8571428571429","227.084375","13.688375","40.625"
"Census Tract 6.01, Whitman County, Washington","53075000601","2250","1885","52","17294","8","57","267.54025984252","123.38388976378","19.3700787401575"
"Census Tract 6.02, Whitman County, Washington","53075000602","1947","1618","92","21024","7","57.8571428571429","210.437129032258","111.333038709677","20.458064516129"
"Census Tract 7, Whitman County, Washington","53075000700","1359","1218","725","65900","12","54.25","128.314359477124","60.0831111111111","45.5424836601307"
"Census Tract 8, Whitman County, Washington","53075000800","1283","1096","826","54904","11","52.3636363636364","47.2315388349515","40.2632621359223","64.1019417475728"
"Census Tract 9, Whitman County, Washington","53075000900","1443","1314","874","53597","17","49.4705882352941","172.811641791045","155.086537313433","13.7462686567164"
"Census Tract 10, Whitman County, Washington","53075001000","846","735","441","57083","19","51.1578947368421","50.9474124293785","31.4935197740113","34.7570621468927"
"Census Tract 9501, Adams County, Washington","53001950100","1023","910","505","52589","12","54.25","62.6586413043478","9.5285652173913","42.6413043478261"
"Census Tract 9502, Adams County, Washington","53001950200","548","487","228","59886","12","56.0833333333333","61.9772073170732","9.0375243902439","60.9024390243902"
"Census Tract 9503.01, Adams County, Washington","53001950301","318","327","259","39928","8","53","88.0868093023256","13.2451162790698","60.1674418604651"
"Census Tract 9503.02, Adams County, Washington","53001950302","566","515","258","58884","8","53","87.0107878787879","17.036595959596","44.4242424242424"
"Census Tract 9503.03, Adams County, Washington","53001950303","608","557","271","50915","8","53","74.1417594936709","14.2204050632911","37.8924050632911"
"Census Tract 9504, Adams County, Washington","53001950400","713","685","308","63750","9","52.2222222222222","267.839712550607","32.9302469635628","23.8380566801619"
"Census Tract 9505, Adams County, Washington","53001950500","1519","1368","365","48542","9","52.2222222222222","191.539782945736","34.8328630490956","25.7777777777778"
