"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
9502,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1488,1308,9,1105,194,180,157,164,15,147,121,76
122,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",962,846,5,759,82,116,106,105,7,98,51,56
9503,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1041,977,6,932,39,64,110,110,10,108,32,48
123,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2533,2246,106,2041,99,287,332,336,147,311,87,143
9505,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1171,1048,0,954,94,123,193,193,13,182,76,67
124.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2168,1825,0,1774,51,343,325,264,18,258,39,195
9506,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1003,890,11,831,48,113,109,115,11,108,38,50
124.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2447,2394,0,2302,92,53,173,180,18,184,78,48
9507,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1022,881,3,813,65,141,99,90,5,90,34,57
125,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1345,1221,0,1197,24,124,151,166,13,168,23,76
9508,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1379,1234,8,1089,137,145,160,162,12,144,70,70
126,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1716,1644,0,1471,173,72,222,231,13,230,87,63
9509,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",705,608,9,501,98,97,72,67,7,52,60,33
127.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1846,1561,7,1484,70,285,209,212,11,206,64,110
9511,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1507,1423,10,1134,279,84,187,186,9,167,88,37
9513.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",960,817,0,778,39,143,126,128,13,130,35,75
9513.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",619,539,0,465,74,80,96,90,13,90,46,33
9514.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1404,1156,50,952,154,248,202,187,59,189,100,119
9514.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1540,1524,0,1430,94,16,116,122,13,134,75,25
