Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,102.01,Spokane,"1,858","1,723","1,538",93,"1,574",114,922,0,65,0,135,"1,531",0,"1,531","1,334",198,"1,073",534,327,100,0,81,19,"1,061",0,858,203,697,0,592,105
Estimate,102.03,Spokane,"1,449","1,449","1,396",22,"1,427",36,"1,182",0,32,0,0,"1,395",0,"1,395","1,325",38,"1,210",223,54,49,0,49,0,362,0,326,36,"1,038",0,"1,020",18
Estimate,102.04,Spokane,974,939,822,79,787,97,640,0,47,0,35,937,20,917,665,150,360,421,37,74,0,58,16,377,20,355,2,523,0,504,19
Estimate,103.01,Spokane,"1,987","1,833","1,452",104,"1,667",297,"1,124",0,15,0,154,"1,683",17,"1,666","1,452",101,"1,464",186,304,352,0,263,89,"1,091",9,889,193,544,8,514,22
Estimate,103.03,Spokane,"1,236","1,210","1,091",64,"1,082",57,779,27,23,0,26,"1,192",0,"1,192","1,033",277,720,166,44,72,0,72,0,530,0,525,5,634,0,595,39
Estimate,103.04,Spokane,"2,257","2,074","1,717",114,"1,873",258,"1,299",29,0,0,183,"1,928",28,"1,900","1,781",436,"1,170",413,329,314,14,140,160,"1,086",14,903,169,857,0,857,0
Estimate,103.5,Spokane,"2,644","2,604","2,517",113,"2,427",17,"2,204",0,54,0,40,"2,512",0,"2,512","2,384",276,"1,990",284,132,246,0,135,111,631,0,631,0,"1,767",0,"1,746",21
Estimate,104.01,Spokane,"1,752","1,636","1,300",44,"1,528",241,"1,099",17,25,0,116,"1,583",0,"1,583","1,491",209,"1,316",75,169,308,0,249,59,893,0,824,69,551,0,510,41
Estimate,104.03,Spokane,"1,222","1,148","1,007",65,"1,003",123,689,7,0,0,74,"1,130",0,"1,130","1,022",254,426,400,92,112,0,70,42,414,0,370,44,696,0,690,6
Estimate,104.04,Spokane,"1,259","1,157","1,030",153,983,105,734,0,0,0,102,"1,048",45,"1,003",852,238,578,231,211,191,0,79,112,430,29,329,72,638,16,595,27
Estimate,105.04,Spokane,"1,328","1,307","1,216",71,"1,171",38,"1,009",0,27,0,21,"1,288",7,"1,281","1,118",114,"1,091",77,40,120,0,120,0,529,7,491,31,679,0,670,9
Estimate,105.05,Spokane,"1,241","1,241","1,150",83,"1,158",72,963,0,26,0,0,"1,212",0,"1,212","1,177",62,"1,081",80,29,82,0,73,9,435,0,415,20,724,0,724,0
Estimate,105.06,Spokane,"2,401","2,264","1,993",63,"2,149",89,"1,843",0,14,0,137,"2,187",14,"2,173","2,069",214,"1,937",86,214,228,0,216,12,"1,072",14,856,202,"1,101",0,"1,101",0
Estimate,105.07,Spokane,"1,658","1,590","1,498",75,"1,475",46,"1,141",17,24,0,68,"1,525",0,"1,525","1,394",66,"1,459",73,133,100,0,83,17,655,0,603,52,903,0,839,64
Estimate,105.08,Spokane,"1,322","1,313","1,244",42,"1,257",55,"1,034",0,0,0,9,"1,253",0,"1,253","1,196",133,"1,072",115,69,57,0,48,9,288,0,288,0,977,0,917,60
Estimate,106.1,Spokane,"1,372","1,291","1,222",43,"1,193",47,959,6,15,0,81,"1,285",0,"1,285","1,152",65,"1,195",114,87,107,0,85,22,582,0,523,59,683,0,677,6
Estimate,106.03,Spokane,"1,910","1,884","1,757",51,"1,714",65,"1,496",19,0,0,26,"1,850",0,"1,850","1,697",116,"1,722",94,60,88,0,41,47,685,0,672,13,"1,137",0,"1,137",0
Estimate,106.04,Spokane,"1,342","1,273","1,254",65,"1,208",19,918,0,10,0,69,"1,259",0,"1,259","1,109",53,"1,197",99,83,62,0,48,14,404,0,349,55,876,0,862,14
Estimate,107.01,Spokane,"1,462","1,447","1,371",43,"1,392",56,"1,109",0,43,0,15,"1,390",0,"1,390","1,350",37,"1,336",63,72,102,0,46,56,488,0,488,0,872,0,856,16
Estimate,107.02,Spokane,"1,162","1,135","1,076",48,"1,018",11,"1,013",39,118,0,27,"1,124",0,"1,124",952,20,"1,001",123,38,88,0,88,0,302,0,264,38,772,0,772,0
Estimate,108,Spokane,971,823,709,67,711,77,492,13,17,0,148,750,0,750,649,62,674,11,221,260,0,200,60,418,0,343,75,293,0,207,86
Estimate,109.01,Spokane,813,803,649,47,719,88,513,28,30,0,10,759,0,759,677,94,648,10,54,88,0,88,0,448,0,394,54,277,0,277,0
Estimate,109.02,Spokane,685,685,642,22,636,22,515,0,19,0,0,685,0,685,661,56,612,34,0,9,0,9,0,319,0,319,0,357,0,357,0
Estimate,110,Spokane,"1,476","1,388","1,187",64,"1,291",148,908,8,35,7,88,"1,319",8,"1,311","1,275",162,"1,111",50,157,175,0,114,61,662,0,583,79,639,8,614,17
Estimate,111.02,Spokane,"1,729","1,627","1,375",18,"1,530",135,965,10,31,0,102,"1,604",0,"1,604","1,468",145,"1,433",14,125,228,0,196,32,"1,033",0,948,85,468,0,460,8
Estimate,111.03,Spokane,"1,685","1,422","1,180",133,"1,105",90,981,98,20,0,263,"1,385",38,"1,347","1,173",164,"1,147",56,300,391,18,180,193,"1,080",20,953,107,214,0,214,0
Estimate,111.04,Spokane,"1,294","1,164",776,0,"1,063",301,584,13,44,0,130,"1,119",40,"1,079",991,123,940,35,175,341,15,249,77,728,25,605,98,225,0,225,0
Estimate,112.02,Spokane,"1,602","1,527","1,383",117,"1,390",77,918,5,41,0,75,"1,450",0,"1,450","1,303",96,"1,218",181,152,143,0,55,88,832,0,793,39,627,0,602,25
Estimate,112.03,Spokane,"2,658","2,321","1,850",176,"2,092",315,"1,235",18,15,0,337,"2,125",14,"2,111","1,986",93,"1,974",66,533,528,14,262,252,"1,528",0,"1,278",250,602,0,571,31
Estimate,112.04,Spokane,981,880,796,22,840,54,652,18,0,0,101,865,12,853,813,49,804,91,116,171,0,101,70,500,12,442,46,310,0,310,0
Estimate,113.01,Spokane,"1,592","1,465","1,446",17,"1,415",0,"1,119",0,28,0,127,"1,465",0,"1,465","1,251",203,"1,132",167,127,140,0,97,43,550,0,466,84,902,0,902,0
Estimate,113.02,Spokane,"2,015","1,996","1,688",52,"1,846",135,"1,435",65,43,0,19,"1,899",1,"1,898","1,746",314,"1,561",40,116,227,0,207,20,691,1,690,0,"1,097",0,"1,001",96
Estimate,114,Spokane,"2,115","1,987","1,923",191,"1,719",55,"1,339",0,49,0,128,"2,006",0,"2,006","1,747",291,"1,677",55,109,320,0,302,18,985,0,894,91,810,0,810,0
Estimate,115,Spokane,629,603,533,24,568,41,437,0,6,0,26,585,0,585,502,46,505,27,44,30,0,20,10,272,0,244,28,327,0,321,6
Estimate,116,Spokane,764,713,618,27,659,60,413,11,30,0,51,683,0,683,612,89,567,28,81,125,0,98,27,370,0,319,51,269,0,266,3
Estimate,117.01,Spokane,"1,120","1,004",805,129,801,85,568,66,7,0,116,943,0,943,799,220,706,17,177,238,0,170,68,508,0,437,71,374,0,336,38
Estimate,117.02,Spokane,"3,229","3,083","2,471",194,"2,816",453,"1,898",0,81,0,146,"2,725",0,"2,725","2,359",590,"2,073",87,504,716,0,497,219,"1,874",0,"1,625",249,639,0,603,36
Estimate,118,Spokane,"2,847","2,470","1,765",187,"2,230",235,"1,416",32,15,0,377,"1,983",0,"1,983","1,762",329,"1,529",183,864,612,0,388,224,"1,492",0,"1,166",326,743,0,429,314
Estimate,119,Spokane,"2,062","1,873","1,744",51,"1,787",52,"1,076",6,0,0,189,"1,801",8,"1,793","1,554",169,"1,584",73,261,163,8,107,48,"1,342",0,"1,136",206,557,0,550,7
