label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,114,161,0,16,0,0,0,35,110,105.06,Spokane,-0.010904259,0.589324195,-0.576139264,-0.108539458,-0.543977123,-0.566039976,-0.526855293,2.770218821,4.027056102,5.054143745
Estimate,38,85,17,0,28,0,0,6,34,105.07,Spokane,-0.427542795,-0.233516976,-0.016373727,-0.63210376,0.232440364,-0.566039976,-0.526855293,0.108822861,0.513802039,-1.547367264
Estimate,14,57,10,0,0,0,34,0,13,105.08,Spokane,-0.55911286,-0.536668986,-0.246865418,-0.63210376,-0.543977123,-0.566039976,1.008551561,-0.441810786,-0.456965531,-2.974992879
Estimate,33,132,0,22,0,54,6,0,50,106.01,Spokane,-0.454953226,0.275345327,-0.576139264,0.087797156,-0.543977123,2.271913878,-0.255901142,-0.441810786,1.253434474,1.615709295
Estimate,50,125,37,48,0,0,0,0,40,106.03,Spokane,-0.361757763,0.199557324,0.642173964,0.938589148,-0.543977123,-0.566039976,-0.526855293,-0.441810786,0.791164202,0.131043696
Estimate,12,102,12,14,13,22,29,12,0,106.04,Spokane,-0.570077032,-0.049460398,-0.181010649,-0.173984995,-0.183497575,0.590163446,0.782756436,0.659456508,-1.057916883,-0.183571144
Estimate,120,257,52,0,156,0,0,0,49,107.01,Spokane,0.021988258,1.628702516,1.136084732,-0.63210376,3.781777447,-0.566039976,-0.526855293,-0.441810786,1.207207447,5.608950582
Estimate,78,288,72,51,44,65,0,27,29,107.02,Spokane,-0.208259355,1.964335098,1.794632422,1.036757455,0.676107499,2.850015589,-0.526855293,2.036040625,0.282666904,9.905440944
Estimate,12,37,0,0,4,10,10,0,13,108,Spokane,-0.570077032,-0.753206136,-0.576139264,-0.63210376,-0.433060339,-0.040492966,-0.075265042,-0.441810786,-0.456965531,-3.979120856
Estimate,48,31,0,0,0,0,0,0,31,109.01,Spokane,-0.372721935,-0.818167281,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,0.375120958,-4.102694461
Estimate,104,223,9,64,91,12,0,0,47,109.02,Spokane,-0.065725119,1.26058936,-0.279792803,1.462153451,1.979379709,0.064616436,-0.526855293,-0.441810786,1.114753392,4.567308348
Estimate,26,67,0,0,16,0,8,0,43,110,Spokane,-0.493327828,-0.428400411,-0.576139264,-0.63210376,-0.100309988,-0.566039976,-0.165583092,-0.441810786,0.929845284,-2.473869821
Estimate,62,123,24,40,14,0,0,8,37,111.02,Spokane,-0.295972731,0.177903609,0.214117965,0.676806996,-0.155768379,-0.566039976,-0.526855293,0.29236741,0.652483121,0.469042721
Estimate,276,116,0,83,0,17,16,0,0,111.03,Spokane,0.877193675,0.102115607,-0.576139264,2.08388606,-0.543977123,0.327389941,0.195689109,-0.441810786,-1.057916883,0.966430336
