Label,Tract,County,Total population in households,Under 18 years,18 to 64 years,65 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Household population 25 years and over,Less than high school graduate or equivalency,"High school graduate (includes equivalency), some college or associate's degree",Bachelor's degree or higher,Civilian population 16 years and over,In labor force,Employed,Unemployed,Not in labor force
Estimate,111.02,Spokane,"4,025","1,066","2,614",345,"3,368",206,78,72,18,71,212,336,"3,194","2,395",82,"1,756",557,"2,989","2,261","2,186",75,728
Estimate,111.03,Spokane,"2,262",303,"1,379",580,"1,905",83,0,76,182,16,0,32,"1,889","1,732",273,"1,029",430,"1,987","1,257","1,096",161,730
Estimate,111.04,Spokane,"2,971",762,"1,916",293,"2,110",180,14,36,182,12,437,303,"1,995","1,732",92,"1,349",291,"2,253","1,701","1,418",283,552
Estimate,112.02,Spokane,"3,799",871,"2,351",577,"3,293",0,32,25,0,30,419,322,"3,202","2,712",146,"1,828",738,"3,099","1,933","1,772",161,"1,166"
Estimate,112.03,Spokane,"4,897","1,237","3,216",444,"3,654",259,19,264,502,11,188,184,"3,494","3,002",131,"2,076",795,"3,792","2,858","2,651",207,934
Estimate,112.04,Spokane,"1,908",364,"1,054",490,"1,450",74,80,200,0,76,28,138,"1,421","1,374",206,759,409,"1,570",976,976,0,594
Estimate,113.01,Spokane,"3,514",707,"1,874",933,"3,255",90,0,51,22,0,96,378,"2,877","2,568",104,"1,406","1,058","2,918","1,676","1,634",42,"1,242"
Estimate,113.02,Spokane,"4,975","1,313","3,027",635,"4,083",17,0,199,0,127,549,299,"4,032","3,374",0,"1,977","1,397","3,754","2,520","2,411",109,"1,234"
Estimate,114,Spokane,"5,160","1,238","3,197",725,"4,797",0,127,121,0,21,94,146,"4,672","3,770",201,"2,724",845,"4,177","2,504","2,432",72,"1,673"
Estimate,115,Spokane,"1,533",323,"1,050",160,"1,479",0,54,0,0,0,0,48,"1,431","1,090",69,623,398,"1,216",929,883,46,287
