label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,939,822,79,787,97,640,0,47,0,35,102.04,Spokane,-0.818882839,-0.707251485,-0.089258104,#REF!,-0.118529288,-0.677551413,-0.803588293,0.749235567,-0.152548567,-0.853151017,#REF!
Estimate,1833,1452,104,1667,297,1124,0,15,0,154,103.01,Spokane,0.81045738,0.467780921,0.376369976,#REF!,2.258551237,0.495544816,-0.803588293,-0.546548095,-0.152548567,0.655870239,#REF!
Estimate,1210,1091,64,1082,57,779,27,23,0,26,103.03,Spokane,-0.324977694,-0.205531299,-0.368634952,#REF!,-0.593945394,-0.34064981,0.680721896,-0.22260218,-0.152548567,-0.967278675,#REF!
Estimate,2074,1717,114,1873,258,1299,29,0,0,183,103.04,Spokane,1.249686679,0.962040583,0.562621208,#REF!,1.795020534,0.91970151,0.790670799,-1.153946687,-0.152548567,1.023614915,#REF!
Estimate,2604,2517,113,2427,17,2204,0,54,0,40,103.05,Spokane,2.215626629,2.454145226,0.543996085,#REF!,-1.069361499,3.113197558,-0.803588293,1.032688243,-0.152548567,-0.789746763,#REF!
Estimate,1636,1300,44,1528,241,1099,17,25,0,116,104.01,Spokane,0.451419323,0.184281039,-0.741137417,#REF!,1.59296869,0.434951002,0.130977382,-0.141615701,-0.152548567,0.173997905,#REF!
Estimate,1148,1007,65,1003,123,689,7,0,0,74,104.03,Spokane,-0.437974443,-0.362202287,-0.350009829,#REF!,0.19049118,-0.558787539,-0.418767133,-1.153946687,-0.152548567,-0.358597833,#REF!
Estimate,1157,1030,153,983,105,734,0,0,0,102,104.04,Spokane,-0.421571689,-0.319304278,1.289001014,#REF!,-0.023446067,-0.449718675,-0.803588293,-1.153946687,-0.152548567,-0.003534008,#REF!
Estimate,1307,1216,71,1171,38,1009,0,27,0,21,105.04,Spokane,-0.148192458,0.027610051,-0.23825909,#REF!,-0.819768043,0.216813274,-0.803588293,-0.060629222,-0.152548567,-1.03068293,#REF!
Estimate,1241,1150,83,1158,72,963,0,26,0,0,105.05,Spokane,-0.268479319,-0.095488582,-0.014757611,#REF!,-0.415664354,0.105320657,-0.803588293,-0.101122461,-0.152548567,-1.296980799,#REF!
