Label,Tract,County,"Full-time, year-round civilian employed population 16 years and over","Management, business, science, and arts occupations:","Management, business, and financial occupations:",Management occupations,Business and financial operations occupations,"Computer, engineering, and science occupations:",Computer and mathematical occupations,Architecture and engineering occupations,"Life, physical, and social science occupations","Education, legal, community service, arts, and media occupations:",Community and social service occupations,Legal occupations,"Educational instruction, and library occupations","Arts, design, entertainment, sports, and media occupations",Healthcare practitioners and technical occupations:,Health diagnosing and treating practitioners and other technical occupations,Health technologists and technicians,Service occupations:,Healthcare support occupations,Protective service occupations:,"Firefighting and prevention, and other protective service workers including supervisors",Law enforcement workers including supervisors,Food preparation and serving related occupations,Building and grounds cleaning and maintenance occupations,Personal care and service occupations,Sales and office occupations:,Sales and related occupations,Office and administrative support occupations,"Natural resources, construction, and maintenance occupations:","Farming, fishing, and forestry occupations",Construction and extraction occupations,"Installation, maintenance, and repair occupations","Production, transportation, and material moving occupations:",Production occupations,Transportation occupations,Material moving occupations
Estimate,9,Spokane,"1,854",816,250,121,129,215,99,100,16,223,33,61,66,63,128,37,91,282,16,19,19,0,65,81,101,472,237,235,201,23,159,19,83,28,33,22
Estimate,10,Spokane,"1,897",790,276,203,73,65,42,6,17,229,61,42,107,19,220,209,11,360,82,144,43,101,81,30,23,323,52,271,135,0,95,40,289,115,11,163
Estimate,11,Spokane,"1,227",613,195,102,93,160,13,133,14,171,28,0,115,28,87,19,68,44,0,14,7,7,0,30,0,391,166,225,34,0,34,0,145,63,21,61
Estimate,12,Spokane,819,328,139,58,81,57,15,32,10,111,40,5,39,27,21,10,11,183,65,11,11,0,57,30,20,95,38,57,91,0,17,74,122,31,59,32
Estimate,13,Spokane,"1,254",430,205,106,99,91,53,22,16,83,0,21,41,21,51,31,20,193,49,18,18,0,27,39,60,260,91,169,213,0,25,188,158,76,8,74
Estimate,14,Spokane,"1,863",517,228,159,69,39,39,0,0,194,133,0,61,0,56,36,20,435,128,7,7,0,158,90,52,520,180,340,251,0,102,149,140,86,46,8
Estimate,15,Spokane,"1,637",287,61,47,14,31,31,0,0,138,104,16,18,0,57,41,16,517,260,45,0,45,146,51,15,349,142,207,175,0,159,16,309,110,131,68
Estimate,16,Spokane,"1,032",210,130,98,32,56,48,8,0,17,0,0,0,17,7,0,7,176,25,0,0,0,91,42,18,163,118,45,211,0,173,38,272,86,71,115
Estimate,18,Spokane,830,246,144,135,9,33,29,0,4,69,0,56,7,6,0,0,0,192,35,24,24,0,123,10,0,244,94,150,49,0,30,19,99,51,20,28
Estimate,19,Spokane,"1,186",472,289,218,71,40,20,20,0,123,45,0,78,0,20,0,20,233,129,24,0,24,24,40,16,202,44,158,132,0,41,91,147,54,43,50
Estimate,20,Spokane,"1,132",280,60,40,20,37,25,4,8,72,9,0,57,6,111,26,85,187,62,0,0,0,29,77,19,248,79,169,115,0,62,53,302,75,110,117
Estimate,21,Spokane,"1,080",258,132,60,72,17,17,0,0,77,26,9,21,21,32,32,0,212,74,3,3,0,56,0,79,361,164,197,101,35,52,14,148,69,24,55
Estimate,23,Spokane,"1,552",533,322,137,185,0,0,0,0,130,15,14,74,27,81,73,8,386,7,0,0,0,77,253,49,378,183,195,109,0,52,57,146,75,18,53
Estimate,24,Spokane,553,252,116,104,12,35,9,0,26,95,27,36,32,0,6,6,0,65,32,0,0,0,17,16,0,68,15,53,94,0,94,0,74,44,18,12
Estimate,25,Spokane,821,227,46,32,14,85,19,52,14,35,25,0,0,10,61,12,49,217,7,0,0,0,96,48,66,184,39,145,64,0,37,27,129,120,9,0
Estimate,25.02,Spokane,771,91,29,29,0,17,0,0,17,12,12,0,0,0,33,33,0,0,0,0,0,0,0,0,0,319,149,170,153,66,73,14,208,65,24,119
Estimate,25.03,Spokane,272,119,62,62,0,18,18,0,0,39,0,0,39,0,0,0,0,85,0,0,0,0,79,0,6,20,8,12,8,0,8,0,40,0,0,40
Estimate,26,Spokane,"1,671",413,115,80,35,79,79,0,0,155,13,0,122,20,64,33,31,212,68,18,0,18,17,109,0,481,186,295,101,0,101,0,464,100,149,215
Estimate,29,Spokane,998,432,312,115,197,57,48,9,0,38,30,8,0,0,25,25,0,58,10,6,6,0,8,18,16,261,131,130,72,0,9,63,175,116,27,32
Estimate,30,Spokane,696,226,87,71,16,13,13,0,0,98,0,0,82,16,28,26,2,91,33,6,6,0,37,0,15,134,17,117,86,19,37,30,159,92,7,60
Estimate,31,Spokane,"1,878",959,391,218,173,76,76,0,0,330,259,25,46,0,162,126,36,215,144,12,0,12,27,0,32,420,103,317,104,0,91,13,180,45,79,56
Estimate,32,Spokane,"1,015",549,250,158,92,85,54,12,19,137,10,26,52,49,77,40,37,45,21,0,0,0,8,16,0,149,56,93,62,0,0,62,210,186,24,0
Estimate,35,Spokane,566,234,115,94,21,27,6,21,0,51,21,12,18,0,41,41,0,93,23,0,0,0,70,0,0,149,59,90,26,0,26,0,64,42,0,22
Estimate,36.01,Spokane,473,315,118,50,68,17,17,0,0,74,0,0,65,9,106,106,0,52,0,0,0,0,42,10,0,87,23,64,6,0,6,0,13,13,0,0
Estimate,36.02,Spokane,956,323,169,169,0,19,19,0,0,58,0,20,21,17,77,77,0,297,15,14,0,14,105,78,85,245,87,158,24,14,10,0,67,47,0,20
Estimate,38,Spokane,578,277,105,67,38,59,34,20,5,78,6,3,50,19,35,24,11,95,41,7,0,7,43,0,4,127,64,63,27,0,20,7,52,12,6,34
Estimate,39,Spokane,441,200,72,54,18,25,0,0,25,64,45,19,0,0,39,39,0,124,28,16,0,16,19,14,47,61,31,30,11,0,0,11,45,19,7,19
Estimate,40.01,Spokane,"1,043",497,260,94,166,60,17,43,0,149,15,0,106,28,28,0,28,245,110,34,0,34,0,57,44,204,34,170,26,0,0,26,71,59,12,0
Estimate,40.02,Spokane,895,535,116,102,14,10,0,0,10,372,155,19,198,0,37,37,0,87,49,0,0,0,8,30,0,204,88,116,0,0,0,0,69,48,21,0
Estimate,41,Spokane,737,490,211,96,115,35,10,7,18,179,50,5,124,0,65,55,10,66,36,0,0,0,0,20,10,138,73,65,11,0,0,11,32,8,24,0
Estimate,42,Spokane,"1,765","1,075",425,159,266,124,29,88,7,259,9,78,97,75,267,245,22,195,62,30,5,25,65,23,15,358,97,261,40,0,40,0,97,30,7,60
Estimate,43,Spokane,"1,113",600,262,167,95,103,29,34,40,160,28,40,92,0,75,75,0,132,80,0,0,0,17,27,8,265,157,108,68,0,40,28,48,0,9,39
Estimate,44,Spokane,"1,536",964,432,314,118,128,99,13,16,215,81,27,91,16,189,170,19,175,17,34,0,34,88,36,0,232,53,179,37,0,22,15,128,100,28,0
Estimate,45,Spokane,"1,033",826,382,276,106,83,39,35,9,169,44,42,41,42,192,169,23,35,24,0,0,0,11,0,0,122,74,48,14,0,7,7,36,0,21,15
Estimate,46.01,Spokane,"1,000",444,104,90,14,92,59,22,11,248,95,51,33,69,0,0,0,169,36,23,9,14,72,38,0,220,87,133,51,0,9,42,116,49,43,24
Estimate,46.02,Spokane,"1,290",812,408,141,267,154,40,69,45,154,52,12,90,0,96,69,27,130,21,38,0,38,14,51,6,149,52,97,110,0,58,52,89,72,11,6
